item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q327213,demographics of Germany,demographics of country,demografia della Germania,demografia
http://www.wikidata.org/entity/Q1340791,geography of Somalia,country located in the Horn of Africa,geografia della Somalia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q972582,geography of Singapore,geography of a Southeast Asian country,geografia di Singapore,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1987424,geography of Mozambique,geographical features of Mozambique,geografia del Mozambico,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1777198,geography of Botswana,The details of Botswana geography,geografia del Botswana,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1982564,geography of Ethiopia,overview of geography of Ethiopia,geografia dell'Etiopia,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1616635,geography of Israel,geography of the country Israel,Geografia di Israele,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q2303563,geography of Bahrain,geographical features of Bahrain,geografia del Bahrein,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q822900,geography of Ireland,overview about the geography of Ireland,geografia dell'isola d'Irlanda,geografia dell'omonima isola europea
http://www.wikidata.org/entity/Q1987433,geography of Kenya,why weather forecasting is important,geografia del Kenya,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1423763,geography of North Korea,geographical features of North Korea,geografia della Corea del Nord,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q550167,geography of Cambodia,Geography of the country of Cambodia,geografia della Cambogia,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q854550,hoodoo,"tall, thin spire of rock that protrudes from the bottom of an arid drainage basin or badland",camini delle fate,tipo di formazione geologica
http://www.wikidata.org/entity/Q968983,geography of South America,geography,geografia dell'America meridionale,geografia
http://www.wikidata.org/entity/Q966954,geography of Iraq,The Geographic Features of the Republic of Iraq And Iraqi Kurdistan Region.,geografia dell'Iraq,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q215941,geography of Switzerland,overview about the geography of Switzerland,geografia della Svizzera,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q1800196,geography of Kazakhstan,overview of the geography of Kazakhstan,geografia del Kazakistan,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1990296,geography of Malawi,Landlocked country in Africa,geografia del Malawi,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1546292,geography of Thailand,thailand's geography and meteorology,Geografia della Thailandia,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1075528,geography of the Netherlands,overview of the geography of the European Netherlands,geografia dei Paesi Bassi,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q76380,geography of the Czech Republic,features of Czechia,geografia della Repubblica Ceca,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q1786077,geography of Moldova,geographical features of Moldova,geografia della Moldavia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q429135,geography of Portugal,geographical features of Portugal,geografia del Portogallo,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q207461,geography of Spain,overview of the geography of Spain,geografia della Spagna,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q216989,geography of Italy,geographical features of Italy,Geografia dell'Italia,elementi fisico-geografici dell'Italia
http://www.wikidata.org/entity/Q980718,geography of Zimbabwe,geographical features of Zimbabwe,geografia dello Zimbabwe,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q30645,geography of Libya,nature of the topology of a country,geografia della Libia,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1451222,geography of Poland,Geography of the nation lying the north european plain bordering the baltic sea,geografia della Polonia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q768271,geography of Seychelles,geography of the Seychelles islands,geografia delle Seychelles,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q682227,geography of Slovakia,geography,geografia della Slovacchia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q5535184,geography of Massachusetts,overview about the geography of Massachusetts,geografia del Massachusetts,geografia dell'omonimo Stato degli USA
http://www.wikidata.org/entity/Q5535125,geography of Berlin,overview about the geography of Berlin,geografia di Berlino,geografia
http://www.wikidata.org/entity/Q1479899,geography of Bolivia,geography,geografia della Bolivia,geografia dell'omonimo Stato sudamericano
http://www.wikidata.org/entity/Q1024872,geography of Uzbekistan,overview of the geography of Uzbekistan,geografia dell'Uzbekistan,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q950091,geography of Latvia,Physical features of Latvia,geografia della Lettonia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q678377,geography of Iceland,overview about the geography of Iceland,geografia dell'Islanda,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q1317938,geography of Chile,physical and political forms of the South American nation.,geografia del Cile,geografia dell'omonimo Stato sudamericano
http://www.wikidata.org/entity/Q576594,geography of Qatar,geographical features of Qatar,geografia del Qatar,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q166330,geography of Hungary,landlocked country in East-Central Europe,geografia dell'Ungheria,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q374009,geography of Montenegro,Overview of the geography of Montenegro,geografia del Montenegro,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q2398928,geography of Nepal,geographical features of Nepal,geografia del Nepal,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1116540,geography of Belarus,landlocked country in Europe,geografia della Bielorussia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q1255870,geography of Azerbaijan,physical features of Azerbaijan,geografia dell'Azerbaigian,geografia dell'omonimo Stato
http://www.wikidata.org/entity/Q845225,geography of Madagascar,overview of the geography of Madagascar,geografia del Madagascar,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q428787,geography of São Tomé and Príncipe,study of the Santomean territory,geografia di São Tomé e Príncipe,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q2018891,geography of Lebanon,geographical features of Lebanon,geografia del Libano,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1757041,geography of Djibouti,country geography,geografia di Gibuti,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1779750,geography of Uganda,physical features of Uganda,geografia dell'Uganda,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q725371,geography of Norway,overview about the geography of Norway,geografia della Norvegia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q781650,geography of Africa,geographical features of Africa,geografia dell'Africa,geografia dell'omonimo continente terrestre
http://www.wikidata.org/entity/Q216981,geography of Austria,overview of the geography of Austria,geografia dell'Austria,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q2385209,geography of Tajikistan,overview of the geography of Tajikistan,geografia del Tagikistan,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1647157,geography of Liechtenstein,geographic features of Liechtenstein,geografia del Liechtenstein,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q119716,geography of Europe,description of Europe's physical land mass,geografia dell'Europa,geografia dell'omonimo continente terrestre
http://www.wikidata.org/entity/Q2309676,geography of Eritrea,Country on the Red Sea coast of the Horn of Africa,geografia dell'Eritrea,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1048240,geography of Russia,landforms and water bodies of the country of Russia,geografia della Russia,geografia dell'omonimo Stato eurasiatico
http://www.wikidata.org/entity/Q1998478,geography of Malaysia,physical Features of Malaysia,geografia della Malaysia,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q240722,geography of Romania,overview of the geography of Romania,geografia della Romania,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q168891,cultural geography,study of cultural products and norms and their variations across and relations to spaces and places,geografia culturale,sottodisciplina della geografia che studia le manifestazioni geografiche della cultura
http://www.wikidata.org/entity/Q2594777,geography of Jordan,geography of the country Jordan in Southwest Asia,Geografia della Giordania,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1752189,geography of North Macedonia,geography,geografia della Macedonia del Nord,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q157136,Lebensraum,"German ""living space"" ideas of settler colonialism (1890s–1940s)",Lebensraum,"dottrina nazista dello ""spazio vitale"""
http://www.wikidata.org/entity/Q839778,geography of China,geographical aspect of China,Geografia della Cina,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q3760285,geography of Campania,geographical characteristics of Campania,geografia della Campania,geografia dell'omonima regione italiana
http://www.wikidata.org/entity/Q1418238,geography of the Philippines,geography,geografia delle Filippine,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1977556,geography of Morocco,overview of the geography of Morocco,geografia del Marocco,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1977576,geography of Indonesia,geography of the country of Indonesia,geografia dell'Indonesia,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q215923,geography of Croatia,geographic features of Croatia,geografia della Croazia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q1404758,geography of Armenia,overview of the geography of Armenia,geografia dell'Armenia,geografia dell'omonimo Stato
http://www.wikidata.org/entity/Q688599,demographics of Switzerland,demographics of country,demografia della Svizzera,demografia
http://www.wikidata.org/entity/Q591586,geography of Niger,geographic feature of Niger,geografia del Niger,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q277597,geography of Ukraine,geography of the country Ukraine,geografia dell'Ucraina,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q39313,geography of Burkina Faso,landlocked Sahel country that shares borders with six nations,geografia del Burkina Faso,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q695213,geography of Iran,overview about the geography of Iran,geografia dell'Iran,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1999024,geography of Chad,African country,geografia del Ciad,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q2088555,geography of Guinea,physical characteristics of Guinea,geografia della Guinea,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q838671,geography of India,geography of the country of India,geografia dell'India,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q2001617,geography of Asia,overview of the geography of Asia,geografia dell'Asia,geografia dell'omonimo continente terrestre
http://www.wikidata.org/entity/Q62438,geography of Kuwait,Geoographic study for Kuwait country,geografia del Kuwait,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1134461,geography of Australia,overview of the geography of Australia,geografia dell'Australia,geografia dell'omonimo Stato oceaniano
http://www.wikidata.org/entity/Q154124,geography of Germany,overview about the geography of Germany,geografia della Germania,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q2034298,geography of Greenland,geography of the world's largest island,geografia della Groenlandia,geografia dell'omonima isola
http://www.wikidata.org/entity/Q583355,geography of North America,continental geography,geografia dell'America settentrionale,geografia
http://www.wikidata.org/entity/Q18482565,genocide of Indigenous peoples of the Americas,"genocide of Amerindian peoples in North America, Central America, South America, and the Caribbean",Genocidio dei nativi americani,"genocidio dei popoli amerindi in Nord America, Centro America, Sud America e Caraibi"
http://www.wikidata.org/entity/Q1503746,geography of Oman,geographical features of Oman,geografia dell'Oman,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q44321,geography of Algeria,geographical features of Algeria,geografia dell'Algeria,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1453203,geography of Estonia,overview of the geography of Estonia,geografia dell'Estonia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q333690,geography of Japan,landforms and water bodies in the state of Japan,geografia del Giappone,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q2734883,geography of Vanuatu,geography,geografia di Vanuatu,geografia
http://www.wikidata.org/entity/Q1987440,geography of Ghana,West African country,geografia del Ghana,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q3791973,hydrography of Milan,Hydrography of Milan,Idrografia milanese,idrografia di Milano
http://www.wikidata.org/entity/Q1440599,geography of Georgia,georgaphy of a country in Eurasia,geografia della Georgia,geografia dell'omonimo Stato
http://www.wikidata.org/entity/Q943124,geography of Lesotho,landlocked country in Africa,geografia del Lesotho,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q44444,geography of Mali,overview of the geography of Mali,geografia del Mali,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1419303,geography of the United Arab Emirates,List of the United Arab Emirates' geographical features,geografia degli Emirati Arabi Uniti,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q129373,geography of the United Kingdom,geographical features of United Kingdom,geografia del Regno Unito,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q200533,geography of France,overview about the geography of France,geografia della Francia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q375433,geography of Greece,overview of the geography of Greece,geografia della Grecia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q12831143,human geography,"study of cultures, communities and activities of peoples of the world",geografia antropica,"scienza dedicata all'analisi della distribuzione, della localizzazione egxgxhc"
http://www.wikidata.org/entity/Q718476,geography of South Korea,overview of the geography of South Korea,geografia della Corea del Sud,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1619519,geography of South Africa,geography of South Africa,geografia del Sudafrica,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1451495,geography of Egypt,geographical features of Egypt,geografia dell'Egitto,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q213878,geography of Finland,overview of the geography of Finland,geografia della Finlandia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q777664,geography of Sudan,geographical features of Sudan,geografia del Sudan,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q2347883,geography of Bangladesh,Geography of Bangladesh,geografia del Bangladesh,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q862111,geography of Syria,geographical features of Syria,geografia della Siria,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q695245,geography of Albania,geography of the country,geografia dell'Albania,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q901704,orography,study of the topographic relief of mountains,orografia,branca della geografia fisica che studia i rilievi della terra
http://www.wikidata.org/entity/Q272160,geography of the United States,geography of the United States of America,geografia degli Stati Uniti d'America,caratteristiche fisiche degli Stati Uniti
http://www.wikidata.org/entity/Q2939,geography of Canada,geographic features of Canada,geografia del Canada,geografia dell'omonimo Stato nordamericano
http://www.wikidata.org/entity/Q1049178,geography of Vietnam,geographical features of Vietnam,geografia del Vietnam,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q2334420,geography of East Timor,geographical features of East Timor,geografia di Timor Est,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q217035,geography of Turkey,Geographical Features of Turkey,geografia della Turchia,geografia dell'omonimo Stato
http://www.wikidata.org/entity/Q1771444,geography of Sweden,overview about the geography of Sweden,geografia della Svezia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q1773917,geography of Cyprus,Island in Mediterranean Sea,geografia di Cipro,geografia dell'omonimo Stato insulare
http://www.wikidata.org/entity/Q922932,geography of Ecuador,overview about the geography of Ecuador,geografia dell'Ecuador,geografia dell'omonimo Stato sudamericano
http://www.wikidata.org/entity/Q936032,geography of Laos,geographical features of Laos,geografia del Laos,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q3338414,geography of Ireland,geography of the Republic of Ireland,geografia dell'Irlanda,geografia della Repubblica d'Irlanda
http://www.wikidata.org/entity/Q1115035,geography of Belgium,geographical features of Belgium,geografia del Belgio,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q695835,geography of Bulgaria,"Information about the geographical make-up of Bulgaria, including topology",geografia della Bulgaria,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q595104,geography of Nigeria,country in West Africa,geografia della Nigeria,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q1637198,geography of Afghanistan,geographical features of Afghanistan,geografia dell'Afghanistan,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q3123475,geography of Pakistan,georgraphy of the country of Pakistan,Geografia del Pakistan,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q755005,geography of Denmark,geographical description,geografia della Danimarca,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q954913,geography of Kosovo,overview of the geography of Kosovo,geografia del Kosovo,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q2303997,geography of the Vatican City,land description of nation,geografia della Città del Vaticano,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q1776229,geography of San Marino,Geographic aspects of San Marino,geografia di San Marino,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q2310127,geography of Togo,study of the Togolese territory,geografia del Togo,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q2334391,geography of Uruguay,geographical features of Uruguay,geografia dell'Uruguay,geografia dell'omonimo Stato sudamericano
http://www.wikidata.org/entity/Q747927,geography of Serbia,overview of Serbian geography,geografia della Serbia,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q2019945,geography of Burundi,geographical study,geografia del Burundi,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q2045221,geography of Turkmenistan,overview of the geography of Turkmenistan,geografia del Turkmenistan,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1709473,geography of Kyrgyzstan,overview of the geography of Kyrgyzstan,geografia del Kirghizistan,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1751319,geography of Saudi Arabia,overview of the geography of the Kingdom of Saudi Arabia,geografia dell'Arabia Saudita,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q1752947,geography of Lithuania,geographical features of Europe,geografia della Lituania,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q938531,geography of Rwanda,Rwanda geographical location,geografia del Ruanda,geografia dell'omonimo Stato africano
http://www.wikidata.org/entity/Q2304034,geography of Myanmar,geographical features of Myanmar,geografia della Birmania,geografia dell'omonimo Stato asiatico
http://www.wikidata.org/entity/Q853007,geography of Andorra,Andorra,geografia di Andorra,geografia dell'omonimo Stato europeo
http://www.wikidata.org/entity/Q645208,geography of New York City,geographic overview,geografia di New York,geografia
http://www.wikidata.org/entity/Q1124211,geography of Argentina,geographic features of Argentina,geografia dell'Argentina,geografia dell'omonimo Stato sudamericano
http://www.wikidata.org/entity/Q1145408,geography of Angola,geographical features of Angola,geografia dell'Angola,geografia dell'omonimo Stato africano
